nome;nome_en;categoria;slug;immagine;immagine_thumbnail;video;popolarita
Panca Piana;Bench Press;Petto;panca-piana;https://apilyfta.com/static/GymvisualPNG/00251101-Barbell-Bench-Press_Chest-FIX.png;https://apilyfta.com/static/GymvisualPNG/00251101-Barbell-Bench-Press_Chest-FIX_small.png;https://apilyfta.com/static/GymvisualMP4/00251201-Barbell-Bench-Press_Chest-FIX2_.mp4;566203
Pushdown Tricipiti;Triceps Pushdown;Tricipiti;pushdown-tricipiti;https://apilyfta.com/static/GymvisualPNG/02411101-Cable-Triceps-Pushdown-(V-bar-attachment)_Upper-Arms.png;https://apilyfta.com/static/GymvisualPNG/02411101-Cable-Triceps-Pushdown-(V-bar-attachment)_Upper-Arms_small.png;https://apilyfta.com/static/GymvisualMP4/02411201-Cable-Triceps-Pushdown-(V-bar-attachment)_Upper-Arms.mp4;527123
Leg Extension alla Macchina;Lever Leg Extension;Quadricipiti;leg-extension-alla-macchina;https://apilyfta.com/static/GymvisualPNG/05851101-Lever-Leg-Extension_Thighs.png;https://apilyfta.com/static/GymvisualPNG/05851101-Lever-Leg-Extension_Thighs_small.png;https://apilyfta.com/static/GymvisualMP4/05851201-Lever-Leg-Extension_Thighs.mp4;496469
Alzate Laterali;Lateral Raise;Spalle;alzate-laterali;https://apilyfta.com/static/GymvisualPNG/03341101-Dumbbell-Lateral-Raise_shoulder-AFIX.png;https://apilyfta.com/static/GymvisualPNG/03341101-Dumbbell-Lateral-Raise_shoulder-AFIX_small.png;https://apilyfta.com/static/GymvisualMP4/03341201-Dumbbell-Lateral-Raise_shoulder-FIX_.mp4;487963
Croci da Seduto alla Macchina;Lever Seated Fly;Petto;croci-da-seduto-alla-macchina;https://apilyfta.com/static/GymvisualPNG/05961101-Lever-Seated-Fly_Chest.png;https://apilyfta.com/static/GymvisualPNG/05961101-Lever-Seated-Fly_Chest_small.png;https://apilyfta.com/static/GymvisualMP4/05961201-Lever-Seated-Fly_Chest-FIX_.mp4;456219
Hammer Curl;Hammer Curl;Bicipiti;hammer-curl;https://apilyfta.com/static/GymvisualPNG/03121101-Dumbbell-Hammer-Curl-II_Upper-Arms.png;https://apilyfta.com/static/GymvisualPNG/03121101-Dumbbell-Hammer-Curl-II_Upper-Arms_small.png;https://apilyfta.com/static/GymvisualMP4/03121201-Dumbbell-Hammer-Curl-(version-2)_Upper-Arms-FIX_.mp4;340527
Pulley Basso Schiena Dritta;Straight Back Seated Row;Schiena;pulley-basso-schiena-dritta;https://apilyfta.com/static/GymvisualPNG/02391101-Cable-Straight-Back-Seated-Row_Back.png;https://apilyfta.com/static/GymvisualPNG/02391101-Cable-Straight-Back-Seated-Row_Back_small.png;https://apilyfta.com/static/GymvisualMP4/02391201-Cable-Straight-Back-Seated-Row_Back.mp4;334508
Panca Inclinata;Incline Bench Press;Petto;panca-inclinata;https://apilyfta.com/static/GymvisualPNG/03141101-Dumbbell-Incline-Bench-Press_Chest.png;https://apilyfta.com/static/GymvisualPNG/03141101-Dumbbell-Incline-Bench-Press_Chest_small.png;https://apilyfta.com/static/GymvisualMP4/03141201-Dumbbell-Incline-Bench-Press_Chest-FIX2_.mp4;301356
Panca Inclinata con Manubri;Dumbbell Incline Bench Press;Petto;panca-inclinata-con-manubri;https://apilyfta.com/static/GymvisualPNG/03141101-Dumbbell-Incline-Bench-Press_Chest-FIX.png;https://apilyfta.com/static/GymvisualPNG/03141101-Dumbbell-Incline-Bench-Press_Chest-FIX_small.png;https://apilyfta.com/static/GymvisualMP4/03141201-Dumbbell-Incline-Bench-Press_Chest-FIX2_.mp4;287282
Distensioni Spalle da Seduto;Seated Shoulder Press;Spalle;distensioni-spalle-da-seduto;https://apilyfta.com/static/GymvisualPNG/04051101-Dumbbell-Seated-Shoulder-Press_Shoulders.png;https://apilyfta.com/static/GymvisualPNG/04051101-Dumbbell-Seated-Shoulder-Press_Shoulders_small.png;https://apilyfta.com/static/GymvisualMP4/04051201-Dumbbell-Seated-Shoulder-Press_Shoulders-FIX_.mp4;278642
Lat Machine;Bar Lateral Pulldown;Schiena;lat-machine;https://apilyfta.com/static/GymvisualPNG/01501101-Cable-Bar-Lateral-Pulldown_Back.png;https://apilyfta.com/static/GymvisualPNG/01501101-Cable-Bar-Lateral-Pulldown_Back_small.png;https://apilyfta.com/static/GymvisualMP4/01501201-Cable-Bar-Lateral-Pulldown_Back.mp4;269163
Leg Curl da Seduto alla Macchina;Lever Seated Leg Curl;Femorali;leg-curl-da-seduto-alla-macchina;https://apilyfta.com/static/GymvisualPNG/05991101-Lever-Seated-Leg-Curl_Thighs-FIX.png;https://apilyfta.com/static/GymvisualPNG/05991101-Lever-Seated-Leg-Curl_Thighs-FIX_small.png;https://apilyfta.com/static/GymvisualMP4/05991201-Lever-Seated-Leg-Curl_Thighs.mp4;251751
Leg Curl Prono alla Macchina;Lever Lying Leg Curl;Femorali;leg-curl-prono-alla-macchina;https://apilyfta.com/static/GymvisualPNG/05861101-Lever-Lying-Leg-Curl_Thighs.png;https://apilyfta.com/static/GymvisualPNG/05861101-Lever-Lying-Leg-Curl_Thighs_small.png;https://apilyfta.com/static/GymvisualMP4/05861201-Lever-Lying-Leg-Curl_Thighs.mp4;246698
Pushdown ai Cavi;Cable Pushdown ;Tricipiti;pushdown-ai-cavi;https://apilyfta.com/static/GymvisualPNG/02001101-Cable-Pushdown-(with-rope-attachment)_Upper-Arms.png;https://apilyfta.com/static/GymvisualPNG/02001101-Cable-Pushdown-(with-rope-attachment)_Upper-Arms_small.png;https://apilyfta.com/static/GymvisualMP4/02001201-Cable-Pushdown-(with-rope-attachment)_Upper-Arms.mp4;243781
Panca Piana con Manubri;Dumbbell Bench Press;Petto;panca-piana-con-manubri;https://apilyfta.com/static/GymvisualPNG/02891101-Dumbbell-Bench-Press_Chest.png;https://apilyfta.com/static/GymvisualPNG/02891101-Dumbbell-Bench-Press_Chest_small.png;https://apilyfta.com/static/GymvisualMP4/02891201-Dumbbell-Bench-Press_Chest-FIX_.mp4;236666
